
Localização e custo total para o caso dados_grande_limpo
Resolução do Problema de Weber
Coordenadas: X = 792.91, Y = 83.39
Custo Total: CT = 172029521.20
---

Pontos de Interesse
(xi, yi)	|Qi	| Ci	| di
(697.7, 714.5)	|3.5	| 11.6	| 638.276
(238.3, 134.0)	|3.2	| 18.0	| 556.885
(45.7, 271.4)	|2.9	| 79.6	| 770.483
(759.8, 48.4)	|2.5	| 28.7	| 48.204
(695.0, 552.2)	|1.1	| 90.2	| 478.966
(196.5, 449.2)	|1.1	| 71.9	| 699.693
(103.5, 790.7)	|2.3	| 71.3	| 987.685
(964.8, 421.4)	|1.0	| 27.1	| 379.181
(845.2, 453.8)	|2.2	| 10.1	| 374.116
(347.9, 932.3)	|2.5	| 67.0	| 958.495
(13.1, 303.9)	|4.4	| 86.6	| 810.356
(982.0, 145.5)	|2.3	| 63.3	| 198.992
(839.2, 222.7)	|4.8	| 99.4	| 146.787
(171.0, 142.3)	|4.8	| 22.5	| 624.651
